game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_pct,home_won,result_correct,pnl_per_unit
2024-05-21,ATL,DAL,betfair_ex_eu,0.3451,-233.0,220.0,True,DAL,34.62,220.0,12.45,1,0.0,-1.0
2024-05-26,ATL,MIN,betfair_ex_eu,0.3973,-167.0,164.0,True,MIN,22.55,164.0,9.01,0,1.0,1.64
2024-05-31,ATL,LVA,betfair_ex_eu,0.2838,320.0,-345.0,False,,,,,1,,
2024-06-02,ATL,CON,betfair_ex_eu,0.398,120.0,-130.0,True,CON,4.77,-130.0,2.11,0,1.0,0.7692
2024-06-06,ATL,NYL,betfair_ex_eu,0.2847,235.0,-244.0,True,NYL,1.15,-244.0,0.52,0,1.0,0.4098
2024-06-11,ATL,WAS,betfair_ex_eu,0.6493,-278.0,260.0,True,WAS,7.65,260.0,2.52,0,1.0,2.6
2024-06-21,ATL,IND,betfair_ex_eu,0.5388,136.0,-149.0,True,ATL,12.43,136.0,4.99,0,0.0,-1.0
2024-06-23,ATL,NYL,betfair_ex_eu,0.2686,370.0,-417.0,False,,,,,0,,
2024-07-02,ATL,CHI,betfair_ex_eu,0.5315,106.0,-111.0,True,ATL,5.16,106.0,2.24,0,0.0,-1.0
2024-07-12,ATL,LVA,betfair_ex_eu,0.1395,1000.0,-1111.0,False,,,,,0,,
2024-08-16,ATL,SEA,betfair_ex_eu,0.2412,295.0,-333.0,False,,,,,1,,
2024-08-18,ATL,CON,betfair_ex_eu,0.2487,340.0,-357.0,False,,,,,1,,
2024-08-21,ATL,PHX,betfair_ex_eu,0.4276,134.0,-147.0,False,,,,,1,,
2024-08-23,ATL,PHX,betfair_ex_eu,0.5503,116.0,-122.0,True,ATL,9.31,116.0,4.07,0,0.0,-1.0
2024-08-26,ATL,IND,betfair_ex_eu,0.3132,106.0,-110.0,True,IND,16.78,-110.0,8.56,0,1.0,0.9091
2024-09-06,ATL,DAL,betfair_ex_eu,0.5258,-139.0,130.0,True,DAL,4.64,130.0,1.74,1,0.0,-1.0
2024-09-10,ATL,MIN,betfair_ex_eu,0.2759,210.0,-227.0,True,MIN,4.14,-227.0,2.45,0,1.0,0.4405
2024-09-13,ATL,WAS,betfair_ex_eu,0.3794,-152.0,150.0,True,WAS,22.19,150.0,9.19,0,1.0,1.5
2024-09-17,ATL,CHI,betfair_ex_eu,0.6476,-526.0,480.0,False,,,,,1,,
2024-05-25,CHI,CON,betfair_ex_eu,0.5127,188.0,-208.0,True,CHI,17.31,188.0,6.34,0,0.0,-1.0
2024-05-30,CHI,LAS,betfair_ex_eu,0.6536,-182.0,168.0,True,CHI,1.99,-182.0,0.58,1,1.0,0.5495
2024-06-04,CHI,NYL,betfair_ex_eu,0.3112,330.0,-345.0,False,,,,,0,,
2024-06-08,CHI,ATL,betfair_ex_eu,0.6626,106.0,-114.0,True,CHI,18.58,106.0,8.61,0,0.0,-1.0
2024-06-12,CHI,CON,betfair_ex_eu,0.3217,275.0,-303.0,True,CHI,5.99,275.0,1.88,0,0.0,-1.0
2024-06-20,CHI,DAL,betfair_ex_eu,0.6237,-185.0,172.0,True,DAL,1.47,172.0,0.5,1,0.0,-1.0
2024-06-23,CHI,IND,betfair_ex_eu,0.5411,-120.0,110.0,False,,,,,1,,
2024-06-27,CHI,LVA,betfair_ex_eu,0.4037,490.0,-526.0,False,,,,,0,,
2024-06-30,CHI,MIN,betfair_ex_eu,0.2728,270.0,-286.0,False,,,,,0,,
2024-07-10,CHI,ATL,betfair_ex_eu,0.6463,-294.0,265.0,True,ATL,8.52,265.0,2.75,1,0.0,-1.0
2024-07-13,CHI,NYL,betfair_ex_eu,0.2655,152.0,-161.0,True,NYL,12.6,-161.0,7.68,0,1.0,0.6211
2024-08-15,CHI,PHX,betfair_ex_eu,0.6682,184.0,-196.0,True,CHI,32.11,184.0,12.2,0,0.0,-1.0
2024-08-25,CHI,LVA,betfair_ex_eu,0.3664,390.0,-435.0,False,,,,,0,,
2024-08-28,CHI,WAS,betfair_ex_eu,0.3914,126.0,-137.0,True,WAS,4.22,-137.0,1.81,0,1.0,0.7299
2024-08-30,CHI,IND,betfair_ex_eu,0.3714,260.0,-270.0,True,CHI,9.57,260.0,3.24,0,0.0,-1.0
2024-09-06,CHI,LAS,betfair_ex_eu,0.41,-185.0,170.0,True,LAS,22.67,170.0,8.72,1,0.0,-1.0
2024-09-08,CHI,DAL,betfair_ex_eu,0.3788,152.0,-167.0,False,,,,,1,,
2024-09-11,CHI,WAS,betfair_ex_eu,0.3078,102.0,-108.0,True,WAS,18.03,-108.0,8.99,0,1.0,0.9259
2024-09-15,CHI,PHX,betfair_ex_eu,0.5524,118.0,-127.0,True,CHI,10.19,118.0,4.33,0,0.0,-1.0
