game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_pct,home_won,result_correct,pnl_per_unit
2025-05-22,ATL,IND,betsson,0.4037,150.0,-196.0,True,ATL,2.71,150.0,0.5,0,0.0,-1.0
2025-05-24,ATL,DAL,betsson,0.6523,-323.0,240.0,True,DAL,6.96,240.0,1.9,1,0.0,-1.0
2025-05-25,ATL,CON,betsson,0.5194,-345.0,250.0,True,CON,21.13,250.0,6.82,1,0.0,-1.0
2025-06-10,ATL,IND,betsson,0.5755,-233.0,180.0,True,IND,8.66,180.0,2.62,1,0.0,-1.0
2025-06-13,ATL,CHI,betsson,0.8446,-1000.0,550.0,False,,,,,1,,
2025-06-20,ATL,WAS,betsson,0.8118,-455.0,320.0,True,ATL,3.69,-455.0,0.0,1,1.0,0.2198
2025-06-22,ATL,CHI,betsson,0.8514,-1667.0,800.0,False,,,,,1,,
2025-06-27,ATL,MIN,betsson,0.3302,138.0,-179.0,True,MIN,6.55,-179.0,1.97,0,1.0,0.5587
2025-06-29,ATL,NYL,betsson,0.5341,-123.0,-102.0,True,ATL,1.21,-123.0,0.0,1,1.0,0.813
2025-07-03,ATL,SEA,betsson,0.5509,-120.0,-105.0,True,ATL,3.52,-120.0,0.5,0,0.0,-1.0
2025-07-07,ATL,GSV,betsson,0.5541,-323.0,240.0,True,GSV,16.78,240.0,5.38,1,0.0,-1.0
2025-07-29,ATL,GSV,betsson,0.6527,-455.0,320.0,False,,,,,0,,
2025-08-01,ATL,PHX,betsson,0.4039,140.0,-182.0,True,ATL,1.15,140.0,0.0,1,1.0,1.4
2025-08-15,ATL,SEA,betsson,0.6121,-133.0,104.0,True,ATL,7.41,-133.0,2.4,0,0.0,-1.0
2025-08-21,ATL,MIN,betsson,0.3938,-123.0,-103.0,True,MIN,12.71,-103.0,5.01,1,0.0,-1.0
2025-08-23,ATL,NYL,betsson,0.6122,-278.0,210.0,True,NYL,8.29,210.0,2.41,1,0.0,-1.0
2025-08-27,ATL,LVA,betsson,0.4115,-167.0,129.0,True,LVA,17.74,129.0,6.74,0,1.0,1.29
2025-08-29,ATL,DAL,betsson,0.8154,-1429.0,725.0,False,,,,,1,,
2025-09-03,ATL,LAS,betsson,0.7247,-213.0,165.0,True,ATL,8.14,-213.0,3.46,1,1.0,0.4695
2025-09-05,ATL,LAS,betsson,0.7289,-250.0,190.0,True,ATL,5.45,-250.0,1.28,1,1.0,0.4
2025-05-22,CHI,NYL,betsson,0.1169,450.0,-769.0,True,NYL,5.36,-769.0,0.0,0,1.0,0.13
2025-05-29,CHI,DAL,betsson,0.2772,-112.0,-112.0,True,DAL,22.28,-112.0,10.31,1,0.0,-1.0
2025-06-07,CHI,IND,betsson,0.3594,121.0,-154.0,True,IND,6.79,-154.0,2.18,0,1.0,0.6494
2025-06-17,CHI,WAS,betsson,0.5212,155.0,-204.0,True,CHI,15.23,155.0,5.31,0,0.0,-1.0
2025-06-21,CHI,PHX,betsson,0.2938,385.0,-588.0,False,,,,,0,,
2025-06-24,CHI,LAS,betsson,0.632,180.0,-238.0,True,CHI,29.55,180.0,10.69,1,1.0,1.8
2025-07-09,CHI,DAL,betsson,0.5995,-137.0,108.0,True,CHI,5.36,-137.0,1.27,1,1.0,0.7299
2025-07-12,CHI,MIN,betsson,0.2458,425.0,-667.0,False,,,,,1,,
2025-07-14,CHI,MIN,betsson,0.2523,425.0,-667.0,False,,,,,0,,
2025-07-16,CHI,ATL,betsson,0.3168,325.0,-476.0,False,,,,,0,,
2025-07-24,CHI,SEA,betsson,0.2789,390.0,-588.0,False,,,,,0,,
2025-07-27,CHI,IND,betsson,0.2595,425.0,-667.0,False,,,,,0,,
2025-08-01,CHI,GSV,betsson,0.2803,155.0,-200.0,True,GSV,9.01,-200.0,3.98,0,1.0,0.5
2025-08-05,CHI,WAS,betsson,0.2559,175.0,-233.0,True,WAS,8.6,-233.0,3.7,1,0.0,-1.0
2025-08-07,CHI,ATL,betsson,0.2367,380.0,-588.0,False,,,,,0,,
2025-08-15,CHI,GSV,betsson,0.2476,240.0,-333.0,True,GSV,2.91,-333.0,0.0,0,1.0,0.3003
2025-08-19,CHI,SEA,betsson,0.2398,400.0,-625.0,False,,,,,0,,
2025-08-23,CHI,CON,betsson,0.361,-154.0,120.0,True,CON,21.05,120.0,8.45,0,1.0,1.2
2025-08-25,CHI,LVA,betsson,0.2341,390.0,-588.0,False,,,,,0,,
2025-09-03,CHI,CON,betsson,0.4809,-133.0,104.0,False,,,,,1,,
2025-09-11,CHI,NYL,betsson,0.2474,650.0,-1250.0,False,,,,,0,,
2025-05-20,CON,LVA,betsson,0.5142,650.0,-1250.0,False,,,,,0,,
2025-05-27,CON,DAL,betsson,0.7345,155.0,-204.0,True,CON,36.56,155.0,14.08,0,0.0,-1.0
2025-06-06,CON,ATL,betsson,0.2902,340.0,-500.0,False,,,,,1,,
2025-06-15,CON,CHI,betsson,0.6161,-137.0,107.0,True,CON,7.13,-137.0,2.25,0,0.0,-1.0
2025-06-18,CON,PHX,betsson,0.2891,650.0,-1250.0,False,,,,,0,,
2025-06-20,CON,DAL,betsson,0.3287,155.0,-204.0,True,DAL,4.02,-204.0,0.5,0,1.0,0.4902
2025-07-06,CON,LVA,betsson,0.282,825.0,-2000.0,False,,,,,0,,
2025-07-09,CON,SEA,betsson,0.2551,875.0,-2500.0,False,,,,,1,,
2025-07-15,CON,IND,betsson,0.2617,625.0,-1111.0,False,,,,,0,,
2025-07-24,CON,LAS,betsson,0.2856,195.0,-263.0,True,LAS,3.31,-263.0,0.0,0,1.0,0.3802
2025-07-27,CON,GSV,betsson,0.2865,165.0,-213.0,True,GSV,7.02,-213.0,2.58,1,0.0,-1.0
2025-07-28,CON,SEA,betsson,0.3782,385.0,-588.0,False,,,,,0,,
2025-08-01,CON,NYL,betsson,0.2814,475.0,-769.0,False,,,,,1,,
2025-08-13,CON,CHI,betsson,0.6556,-175.0,136.0,True,CON,5.53,-175.0,1.32,1,1.0,0.5714
2025-08-17,CON,IND,betsson,0.3868,210.0,-286.0,True,CON,8.34,210.0,2.37,0,0.0,-1.0
2025-08-21,CON,WAS,betsson,0.3927,114.0,-145.0,True,WAS,4.85,-145.0,0.95,1,0.0,-1.0
2025-08-30,CON,MIN,betsson,0.2763,550.0,-1000.0,False,,,,,0,,
2025-09-01,CON,ATL,betsson,0.263,425.0,-667.0,False,,,,,0,,
2025-09-06,CON,PHX,betsson,0.2706,425.0,-667.0,False,,,,,1,,
2025-09-10,CON,ATL,betsson,0.1426,575.0,-1000.0,False,,,,,0,,
2025-05-16,DAL,MIN,betsson,0.2814,175.0,-227.0,True,MIN,6.23,-227.0,2.0,0,1.0,0.4405
2025-05-19,DAL,SEA,betsson,0.2783,123.0,-159.0,True,SEA,14.38,-159.0,6.98,0,1.0,0.6289
2025-05-31,DAL,CHI,betsson,0.6044,-143.0,112.0,True,DAL,4.93,-143.0,0.97,0,0.0,-1.0
2025-06-06,DAL,LAS,betsson,0.5736,115.0,-147.0,True,DAL,13.49,115.0,5.07,0,0.0,-1.0
2025-06-08,DAL,MIN,betsson,0.2419,500.0,-833.0,False,,,,,0,,
2025-06-17,DAL,GSV,betsson,0.4899,-169.0,132.0,True,GSV,10.32,132.0,3.47,1,0.0,-1.0
2025-06-24,DAL,ATL,betsson,0.2487,310.0,-455.0,False,,,,,1,,
2025-06-27,DAL,IND,betsson,0.3845,103.0,-132.0,True,IND,7.95,-132.0,2.7,0,1.0,0.7576
2025-06-28,DAL,WAS,betsson,0.3761,210.0,-286.0,True,DAL,7.28,210.0,1.98,1,1.0,2.1
2025-07-03,DAL,PHX,betsson,0.2743,425.0,-667.0,False,,,,,1,,
2025-07-16,DAL,LVA,betsson,0.2738,195.0,-256.0,True,LVA,4.66,-256.0,0.63,0,1.0,0.3906
2025-07-27,DAL,LVA,betsson,0.3624,270.0,-370.0,True,DAL,10.68,270.0,3.16,0,0.0,-1.0
2025-07-28,DAL,NYL,betsson,0.236,280.0,-400.0,True,NYL,1.15,-400.0,0.0,1,0.0,-1.0
2025-07-30,DAL,ATL,betsson,0.282,116.0,-147.0,True,ATL,15.56,-147.0,7.59,0,1.0,0.6803
2025-08-01,DAL,IND,betsson,0.2729,149.0,-192.0,True,IND,10.63,-192.0,5.08,0,1.0,0.5208
2025-08-08,DAL,NYL,betsson,0.2512,425.0,-714.0,False,,,,,0,,
2025-08-10,DAL,WAS,betsson,0.3922,-189.0,145.0,True,WAS,22.35,145.0,8.43,0,1.0,1.45
2025-08-15,DAL,LAS,betsson,0.3029,180.0,-238.0,True,LAS,3.36,-238.0,0.0,0,1.0,0.4202
2025-08-22,DAL,SEA,betsson,0.2758,285.0,-400.0,True,DAL,3.07,285.0,0.54,0,0.0,-1.0
2025-08-24,DAL,GSV,betsson,0.3573,-103.0,-123.0,True,GSV,12.19,-123.0,5.08,0,1.0,0.813
2025-08-27,DAL,CON,betsson,0.2747,-108.0,-118.0,True,CON,21.49,-118.0,10.03,0,1.0,0.8475
2025-09-11,DAL,PHX,betsson,0.2351,190.0,-250.0,True,PHX,9.05,-250.0,4.43,1,0.0,-1.0
2025-05-16,GSV,LAS,betsson,0.4058,200.0,-263.0,True,GSV,9.07,200.0,2.72,0,0.0,-1.0
2025-05-21,GSV,WAS,betsson,0.304,165.0,-217.0,True,WAS,5.13,-217.0,0.91,1,0.0,-1.0
2025-06-01,GSV,MIN,betsson,0.2495,550.0,-1000.0,False,,,,,0,,
2025-06-07,GSV,LVA,betsson,0.2559,525.0,-909.0,False,,,,,1,,
2025-06-14,GSV,SEA,betsson,0.29,355.0,-526.0,False,,,,,1,,
2025-06-19,GSV,IND,betsson,0.3843,425.0,-667.0,False,,,,,1,,
2025-06-22,GSV,CON,betsson,0.6487,-526.0,350.0,False,,,,,1,,
2025-06-25,GSV,NYL,betsson,0.2989,345.0,-500.0,False,,,,,0,,
2025-06-27,GSV,CHI,betsson,0.5634,-455.0,310.0,False,,,,,1,,
2025-06-29,GSV,SEA,betsson,0.29,170.0,-222.0,True,SEA,5.94,-222.0,1.65,1,0.0,-1.0
2025-07-14,GSV,PHX,betsson,0.3191,-132.0,103.0,False,,,,,0,,
2025-07-25,GSV,DAL,betsson,0.5622,-179.0,140.0,True,DAL,4.4,140.0,0.91,1,0.0,-1.0
2025-08-06,GSV,LVA,betsson,0.4977,175.0,-227.0,True,GSV,15.39,175.0,5.27,0,0.0,-1.0
2025-08-09,GSV,LAS,betsson,0.3879,146.0,-189.0,False,,,,,1,,
2025-08-11,GSV,CON,betsson,0.5476,-417.0,295.0,True,CON,21.35,295.0,6.67,1,0.0,-1.0
2025-08-17,GSV,ATL,betsson,0.4067,155.0,-200.0,True,GSV,3.63,155.0,0.6,0,0.0,-1.0
2025-08-19,GSV,PHX,betsson,0.4233,220.0,-294.0,True,GSV,12.81,220.0,4.03,0,0.0,-1.0
2025-08-30,GSV,WAS,betsson,0.6559,-200.0,155.0,True,GSV,2.63,-200.0,0.0,1,1.0,0.5
2025-08-31,GSV,IND,betsson,0.6301,116.0,-147.0,True,GSV,19.26,116.0,7.78,1,1.0,1.16
2025-09-02,GSV,NYL,betsson,0.5638,190.0,-250.0,True,GSV,23.82,190.0,8.36,1,1.0,1.9
2025-09-04,GSV,DAL,betsson,0.6949,-667.0,425.0,False,,,,,1,,
2025-05-17,IND,CHI,betsson,0.7101,-385.0,275.0,True,CHI,3.84,275.0,0.79,1,0.0,-1.0
2025-05-20,IND,ATL,betsson,0.642,-323.0,240.0,True,ATL,7.99,240.0,2.26,0,1.0,2.4
2025-05-24,IND,NYL,betsson,0.2884,146.0,-189.0,True,NYL,9.49,-189.0,4.16,0,1.0,0.5291
2025-05-30,IND,CON,betsson,0.6502,-769.0,475.0,False,,,,,0,,
2025-06-03,IND,WAS,betsson,0.6618,-222.0,170.0,True,IND,1.13,-222.0,0.0,1,1.0,0.4505
2025-06-14,IND,NYL,betsson,0.2839,139.0,-179.0,True,NYL,11.08,-179.0,5.2,1,0.0,-1.0
2025-06-17,IND,CON,betsson,0.7956,-2000.0,875.0,False,,,,,1,,
2025-06-26,IND,LAS,betsson,0.81,-250.0,190.0,True,IND,13.56,-250.0,8.38,0,0.0,-1.0
2025-07-03,IND,LVA,betsson,0.5316,160.0,-204.0,True,IND,16.73,160.0,5.97,1,1.0,1.6
2025-07-05,IND,LAS,betsson,0.8051,-227.0,175.0,True,IND,14.89,-227.0,9.07,0,0.0,-1.0
2025-07-09,IND,GSV,betsson,0.6011,-345.0,250.0,True,GSV,12.96,250.0,3.96,0,1.0,2.5
2025-07-11,IND,ATL,betsson,0.3962,-123.0,-103.0,True,ATL,12.47,-103.0,4.89,1,0.0,-1.0
2025-07-13,IND,DAL,betsson,0.6715,-556.0,370.0,False,,,,,1,,
2025-07-24,IND,LVA,betsson,0.4166,108.0,-137.0,True,LVA,3.75,-137.0,0.5,1,0.0,-1.0
2025-07-30,IND,PHX,betsson,0.5381,134.0,-172.0,True,IND,13.49,134.0,4.83,1,1.0,1.34
2025-08-09,IND,CHI,betsson,0.7656,-625.0,395.0,False,,,,,1,,
2025-08-12,IND,DAL,betsson,0.6579,-455.0,320.0,False,,,,,0,,
2025-08-15,IND,WAS,betsson,0.5443,-417.0,290.0,True,WAS,21.45,290.0,6.7,0,1.0,2.9
2025-08-22,IND,MIN,betsson,0.3055,155.0,-204.0,True,MIN,6.34,-204.0,1.78,0,1.0,0.4902
2025-08-26,IND,SEA,betsson,0.3635,147.0,-189.0,True,SEA,1.88,-189.0,0.0,1,0.0,-1.0
2025-09-05,IND,CHI,betsson,0.6125,-769.0,475.0,False,,,,,1,,
2025-05-23,LAS,GSV,betsson,0.6516,-588.0,390.0,False,,,,,0,,
2025-05-25,LAS,CHI,betsson,0.6346,-189.0,145.0,True,LAS,1.89,-189.0,0.0,1,1.0,0.5291
2025-05-27,LAS,ATL,betsson,0.3827,-139.0,108.0,True,ATL,16.47,108.0,6.57,0,1.0,1.08
2025-06-01,LAS,PHX,betsson,0.3066,-185.0,143.0,True,PHX,30.54,143.0,11.97,0,1.0,1.43
2025-06-09,LAS,GSV,betsson,0.6011,-312.0,233.0,True,GSV,11.5,233.0,3.52,0,1.0,2.33
2025-06-17,LAS,SEA,betsson,0.2712,305.0,-435.0,False,,,,,0,,
2025-06-29,LAS,CHI,betsson,0.5193,-385.0,270.0,True,CHI,22.67,270.0,7.21,0,1.0,2.7
2025-07-10,LAS,MIN,betsson,0.232,250.0,-345.0,True,MIN,3.73,-345.0,0.0,0,1.0,0.2899
2025-07-13,LAS,CON,betsson,0.6297,-625.0,400.0,False,,,,,1,,
2025-07-15,LAS,WAS,betsson,0.3749,-130.0,103.0,False,,,,,1,,
2025-07-29,LAS,LVA,betsson,0.5061,103.0,-130.0,False,,,,,0,,
2025-08-05,LAS,IND,betsson,0.3081,110.0,-141.0,True,IND,14.06,-141.0,6.44,1,0.0,-1.0
2025-08-07,LAS,CON,betsson,0.6535,-588.0,385.0,False,,,,,1,,
2025-08-10,LAS,SEA,betsson,0.3987,165.0,-213.0,True,LAS,4.2,165.0,0.86,1,1.0,1.65
2025-08-12,LAS,NYL,betsson,0.3173,143.0,-185.0,True,NYL,7.07,-185.0,2.39,0,1.0,0.5405
2025-08-20,LAS,DAL,betsson,0.6088,-385.0,275.0,True,DAL,13.98,275.0,4.25,1,0.0,-1.0
2025-08-26,LAS,PHX,betsson,0.326,135.0,-172.0,True,PHX,7.63,-172.0,2.83,0,1.0,0.5814
