game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,home_won,result_correct,pnl_per_unit
2024-05-21,ATL,DAL,draftkings,0.3974,-265.0,215.0,True,DAL,29.84,215.0,1,0.0,-1.0
2024-05-26,ATL,MIN,draftkings,0.3745,-185.0,154.0,True,MIN,24.8,154.0,0,1.0,1.54
2024-06-02,ATL,CON,draftkings,0.4212,120.0,-142.0,False,,,,0,,
2024-06-06,ATL,NYL,draftkings,0.2931,210.0,-258.0,False,,,,0,,
2024-06-11,ATL,WAS,draftkings,0.6317,-310.0,250.0,False,,,,0,,
2024-06-16,ATL,LA,draftkings,0.5994,-218.0,180.0,False,,,,1,,
2024-06-21,ATL,IND,draftkings,0.585,124.0,-148.0,True,ATL,15.7,124.0,0,0.0,-1.0
2024-06-23,ATL,NYL,draftkings,0.3259,350.0,-455.0,False,,,,0,,
2024-07-02,ATL,CHI,draftkings,0.5175,-102.0,-118.0,False,,,,0,,
2024-08-16,ATL,SEA,draftkings,0.1188,270.0,-340.0,False,,,,1,,
2024-08-18,ATL,CON,draftkings,0.1298,310.0,-395.0,False,,,,1,,
2024-08-21,ATL,PHO,draftkings,0.4869,124.0,-148.0,False,,,,1,,
2024-08-23,ATL,PHO,draftkings,0.5628,110.0,-130.0,False,,,,0,,
2024-08-26,ATL,IND,draftkings,0.3652,102.0,-122.0,False,,,,0,,
2024-09-06,ATL,DAL,draftkings,0.5159,-148.0,124.0,False,,,,1,,
2024-09-10,ATL,MIN,draftkings,0.2343,190.0,-230.0,False,,,,0,,
2024-09-13,ATL,WAS,draftkings,0.3665,-170.0,142.0,True,WAS,23.73,142.0,0,1.0,1.42
2024-09-17,ATL,CHI,draftkings,0.6323,-650.0,470.0,False,,,,1,,
2024-05-25,CHI,CON,draftkings,0.5695,180.0,-218.0,True,CHI,22.69,180.0,0,0.0,-1.0
2024-05-30,CHI,LA,draftkings,0.6111,-192.0,160.0,False,,,,1,,
2024-06-04,CHI,NYL,draftkings,0.3986,270.0,-340.0,False,,,,0,,
2024-06-08,CHI,ATL,draftkings,0.6552,-102.0,-118.0,False,,,,0,,
2024-06-12,CHI,CON,draftkings,0.3676,270.0,-340.0,False,,,,0,,
2024-06-20,CHI,DAL,draftkings,0.6044,-198.0,164.0,False,,,,1,,
2024-06-23,CHI,IND,draftkings,0.4844,-135.0,114.0,False,,,,1,,
2024-06-30,CHI,MIN,draftkings,0.2187,235.0,-298.0,False,,,,0,,
2024-07-10,CHI,ATL,draftkings,0.6047,-298.0,240.0,False,,,,1,,
2024-07-13,CHI,NYL,draftkings,0.3163,154.0,-185.0,False,,,,0,,
2024-08-15,CHI,PHO,draftkings,0.6322,180.0,-218.0,True,CHI,28.96,180.0,0,0.0,-1.0
2024-08-28,CHI,WAS,draftkings,0.3949,130.0,-155.0,False,,,,0,,
2024-08-30,CHI,IND,draftkings,0.3351,270.0,-340.0,False,,,,0,,
2024-09-06,CHI,LA,draftkings,0.3624,-198.0,164.0,True,LA,27.45,164.0,1,0.0,-1.0
2024-09-08,CHI,DAL,draftkings,0.3488,150.0,-180.0,False,,,,1,,
2024-09-11,CHI,WAS,draftkings,0.3523,-110.0,-110.0,False,,,,0,,
2024-09-15,CHI,PHO,draftkings,0.5139,110.0,-130.0,False,,,,0,,
2024-05-23,CON,MIN,draftkings,0.6054,-270.0,220.0,False,,,,1,,
2024-05-28,CON,PHO,draftkings,0.6905,-345.0,275.0,False,,,,1,,
2024-05-31,CON,DAL,draftkings,0.64,-360.0,285.0,False,,,,1,,
2024-06-04,CON,WAS,draftkings,0.9036,-1100.0,700.0,False,,,,1,,
2024-06-08,CON,NYL,draftkings,0.589,114.0,-135.0,False,,,,0,,
2024-06-10,CON,IND,draftkings,0.9292,-625.0,455.0,False,,,,1,,
2024-06-18,CON,LA,draftkings,0.9405,-1050.0,675.0,False,,,,1,,
2024-06-28,CON,ATL,draftkings,0.822,-500.0,380.0,False,,,,0,,
2024-07-07,CON,ATL,draftkings,0.8328,-1050.0,675.0,False,,,,1,,
2024-07-10,CON,NYL,draftkings,0.4233,114.0,-135.0,False,,,,0,,
2024-07-14,CON,PHO,draftkings,0.6669,-340.0,270.0,False,,,,1,,
2024-08-20,CON,LA,draftkings,0.6498,-1450.0,850.0,False,,,,1,,
2024-08-23,CON,CHI,draftkings,0.674,-675.0,490.0,False,,,,1,,
2024-09-01,CON,SEA,draftkings,0.609,-108.0,-112.0,False,,,,1,,
2024-09-03,CON,SEA,draftkings,0.6176,-166.0,140.0,False,,,,0,,
2024-09-17,CON,MIN,draftkings,0.5578,-130.0,110.0,False,,,,0,,
2024-09-19,CON,CHI,draftkings,0.8515,-1350.0,800.0,False,,,,1,,
2024-05-15,DAL,CHI,draftkings,0.3904,-355.0,280.0,True,CHI,35.73,280.0,1,0.0,-1.0
2024-05-18,DAL,CHI,draftkings,0.4569,-205.0,170.0,True,CHI,18.78,170.0,0,1.0,1.7
2024-06-09,DAL,PHO,draftkings,0.6399,102.0,-122.0,False,,,,0,,
2024-06-13,DAL,SEA,draftkings,0.3218,245.0,-305.0,False,,,,0,,
2024-06-15,DAL,CON,draftkings,0.1336,235.0,-290.0,False,,,,0,,
2024-06-27,DAL,MIN,draftkings,0.0382,320.0,-410.0,False,,,,1,,
2024-07-03,DAL,PHO,draftkings,0.396,180.0,-218.0,False,,,,0,,
2024-07-05,DAL,ATL,draftkings,0.4127,-185.0,154.0,True,ATL,20.98,154.0,1,0.0,-1.0
2024-07-13,DAL,LA,draftkings,0.3323,-166.0,140.0,True,LA,26.73,140.0,0,1.0,1.4
2024-07-17,DAL,IND,draftkings,0.1877,180.0,-218.0,False,,,,1,,
2024-08-16,DAL,CON,draftkings,0.2705,205.0,-250.0,False,,,,0,,
2024-08-25,DAL,LA,draftkings,0.4105,-310.0,250.0,True,LA,31.52,250.0,1,0.0,-1.0
2024-08-30,DAL,MIN,draftkings,0.172,270.0,-340.0,False,,,,1,,
2024-09-01,DAL,IND,draftkings,0.303,130.0,-155.0,False,,,,0,,
2024-09-03,DAL,WAS,draftkings,0.5113,-258.0,210.0,True,WAS,17.95,210.0,0,1.0,2.1
2024-09-10,DAL,NYL,draftkings,0.1697,370.0,-485.0,False,,,,0,,
2024-09-12,DAL,NYL,draftkings,0.1623,455.0,-625.0,False,,,,0,,
2024-09-13,DAL,SEA,draftkings,0.1586,370.0,-485.0,False,,,,0,,
2024-05-16,IND,NYL,draftkings,0.1136,280.0,-355.0,False,,,,0,,
2024-05-20,IND,CON,draftkings,0.1857,180.0,-218.0,False,,,,0,,
2024-05-28,IND,LA,draftkings,0.5131,-225.0,185.0,True,LA,15.06,185.0,0,1.0,1.85
2024-05-30,IND,SEA,draftkings,0.3634,190.0,-230.0,False,,,,0,,
2024-06-01,IND,CHI,draftkings,0.3557,105.0,-125.0,False,,,,1,,
2024-06-13,IND,ATL,draftkings,0.3632,114.0,-135.0,False,,,,1,,
2024-06-16,IND,CHI,draftkings,0.4665,-135.0,114.0,False,,,,1,,
2024-06-19,IND,WAS,draftkings,0.4873,-225.0,185.0,True,WAS,17.64,185.0,1,0.0,-1.0
2024-07-06,IND,NYL,draftkings,0.1525,410.0,-550.0,False,,,,1,,
2024-07-10,IND,WAS,draftkings,0.4731,-305.0,245.0,True,WAS,24.89,245.0,0,1.0,2.45
2024-07-12,IND,PHO,draftkings,0.5664,-135.0,114.0,False,,,,1,,
2024-08-16,IND,PHO,draftkings,0.5321,-162.0,136.0,False,,,,1,,
2024-08-18,IND,SEA,draftkings,0.2516,142.0,-170.0,False,,,,1,,
2024-08-28,IND,CON,draftkings,0.3631,145.0,-175.0,False,,,,1,,
2024-09-04,IND,LA,draftkings,0.6862,-750.0,525.0,False,,,,1,,
2024-09-06,IND,MIN,draftkings,0.3696,130.0,-155.0,False,,,,0,,
2024-09-08,IND,ATL,draftkings,0.5935,-230.0,190.0,False,,,,1,,
2024-09-15,IND,DAL,draftkings,0.6266,-485.0,370.0,False,,,,1,,
2024-05-15,LA,ATL,draftkings,0.4152,154.0,-185.0,False,,,,0,,
2024-05-21,LA,WAS,draftkings,0.3526,-135.0,114.0,False,,,,1,,
2024-05-24,LA,IND,draftkings,0.5925,105.0,-125.0,False,,,,0,,
2024-05-26,LA,DAL,draftkings,0.2365,-130.0,110.0,False,,,,0,,
