game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_pct,home_won,result_correct,pnl_per_unit
2025-05-22,ATL,IND,draftkings,0.4037,170.0,-205.0,True,ATL,4.85,170.0,1.32,0,0.0,-1.0
2025-05-24,ATL,DAL,draftkings,0.6523,-325.0,260.0,True,DAL,8.13,260.0,2.42,1,0.0,-1.0
2025-05-25,ATL,CON,draftkings,0.5194,-305.0,245.0,True,CON,20.26,245.0,6.72,1,0.0,-1.0
2025-06-10,ATL,IND,draftkings,0.5755,-218.0,180.0,True,IND,8.2,180.0,2.62,1,0.0,-1.0
2025-06-13,ATL,CHI,draftkings,0.8446,-900.0,600.0,False,,,,,1,,
2025-06-20,ATL,WAS,draftkings,0.8118,-425.0,330.0,True,ATL,3.5,-425.0,0.5,1,1.0,0.2353
2025-06-22,ATL,CHI,draftkings,0.8514,-1600.0,900.0,False,,,,,1,,
2025-06-27,ATL,MIN,draftkings,0.3302,145.0,-175.0,True,MIN,6.05,-175.0,2.3,0,1.0,0.5714
2025-06-29,ATL,NYL,draftkings,0.5341,-125.0,105.0,False,,,,,1,,
2025-07-03,ATL,SEA,draftkings,0.5509,-118.0,-102.0,True,ATL,3.35,-118.0,0.52,0,0.0,-1.0
2025-07-07,ATL,GSV,draftkings,0.5541,-310.0,250.0,True,GSV,17.17,250.0,5.61,1,0.0,-1.0
2025-07-29,ATL,GSV,draftkings,0.6527,-425.0,330.0,False,,,,,0,,
2025-08-01,ATL,PHX,draftkings,0.4039,145.0,-175.0,True,ATL,1.31,145.0,0.0,1,1.0,1.45
2025-08-03,ATL,WAS,draftkings,0.6114,-238.0,195.0,True,WAS,6.36,195.0,1.88,1,0.0,-1.0
2025-08-15,ATL,SEA,draftkings,0.6121,-122.0,102.0,True,ATL,8.6,-122.0,3.47,0,0.0,-1.0
2025-08-21,ATL,MIN,draftkings,0.3938,-115.0,-105.0,True,MIN,11.71,-105.0,4.82,1,0.0,-1.0
2025-08-23,ATL,NYL,draftkings,0.6122,-270.0,220.0,True,NYL,8.79,220.0,2.74,1,0.0,-1.0
2025-08-27,ATL,LVA,draftkings,0.4115,-155.0,130.0,True,LVA,17.15,130.0,6.8,0,1.0,1.3
2025-08-29,ATL,DAL,draftkings,0.8154,-1450.0,850.0,False,,,,,1,,
2025-09-03,ATL,LAS,draftkings,0.7247,-198.0,164.0,True,ATL,8.78,-198.0,4.49,1,1.0,0.5051
2025-09-05,ATL,LAS,draftkings,0.7289,-238.0,195.0,True,ATL,5.39,-238.0,2.09,1,1.0,0.4202
