game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,home_won,result_correct,pnl_per_unit
2024-05-21,ATL,DAL,fanduel,0.4705,-265.0,210.0,True,DAL,22.19,210.0,1,0.0,-1.0
2024-05-26,ATL,MIN,fanduel,0.4177,-192.0,154.0,True,MIN,20.77,154.0,0,1.0,1.54
2024-05-31,ATL,LA,fanduel,0.2374,310.0,-420.0,False,,,,1,,
2024-06-02,ATL,CON,fanduel,0.466,112.0,-140.0,False,,,,0,,
2024-06-06,ATL,NYL,fanduel,0.39,235.0,-300.0,False,,,,0,,
2024-06-11,ATL,WAS,fanduel,0.7124,-310.0,245.0,False,,,,0,,
2024-06-16,ATL,LA,fanduel,0.5383,-220.0,176.0,False,,,,1,,
2024-06-21,ATL,IND,fanduel,0.5977,132.0,-162.0,False,,,,0,,
2024-06-23,ATL,NYL,fanduel,0.3626,350.0,-480.0,False,,,,0,,
2024-07-02,ATL,CHI,fanduel,0.441,-104.0,-118.0,False,,,,0,,
2024-07-12,ATL,LA,fanduel,0.2936,920.0,-2000.0,False,,,,0,,
2024-08-16,ATL,SEA,fanduel,0.3616,265.0,-350.0,False,,,,1,,
2024-08-18,ATL,CON,fanduel,0.3651,310.0,-420.0,False,,,,1,,
2024-08-21,ATL,PHO,fanduel,0.5823,128.0,-158.0,False,,,,1,,
2024-08-23,ATL,PHO,fanduel,0.491,110.0,-134.0,False,,,,0,,
2024-09-06,ATL,DAL,fanduel,0.3687,-152.0,124.0,True,DAL,20.6,124.0,1,0.0,-1.0
2024-09-10,ATL,MIN,fanduel,0.5357,194.0,-245.0,False,,,,0,,
2024-09-13,ATL,WAS,fanduel,0.6121,-188.0,152.0,False,,,,0,,
2024-09-17,ATL,CHI,fanduel,0.6722,-700.0,470.0,False,,,,1,,
2024-05-25,CHI,CON,fanduel,0.4521,184.0,-230.0,False,,,,0,,
2024-05-30,CHI,LA,fanduel,0.7911,-178.0,144.0,False,,,,1,,
2024-06-04,CHI,NYL,fanduel,0.474,290.0,-385.0,False,,,,0,,
2024-06-08,CHI,ATL,fanduel,0.6708,-105.0,-115.0,False,,,,0,,
2024-06-12,CHI,CON,fanduel,0.3952,265.0,-350.0,False,,,,0,,
2024-06-20,CHI,DAL,fanduel,0.589,-188.0,152.0,False,,,,1,,
2024-06-23,CHI,IND,fanduel,0.6534,-134.0,110.0,False,,,,1,,
2024-06-27,CHI,LA,fanduel,0.3199,420.0,-600.0,False,,,,0,,
2024-06-30,CHI,MIN,fanduel,0.2137,220.0,-280.0,False,,,,0,,
2024-07-10,CHI,ATL,fanduel,0.8003,-290.0,225.0,False,,,,1,,
2024-07-13,CHI,NYL,fanduel,0.1963,158.0,-196.0,True,NYL,17.29,-196.0,0,1.0,0.5102
2024-08-15,CHI,PHO,fanduel,0.4057,180.0,-225.0,False,,,,0,,
2024-08-25,CHI,LA,fanduel,0.3592,350.0,-480.0,False,,,,0,,
2024-08-28,CHI,WAS,fanduel,0.5008,118.0,-144.0,False,,,,0,,
2024-08-30,CHI,IND,fanduel,0.4381,240.0,-310.0,False,,,,0,,
2024-09-06,CHI,LA,fanduel,0.5498,-205.0,164.0,False,,,,1,,
2024-09-08,CHI,DAL,fanduel,0.5431,152.0,-188.0,False,,,,1,,
2024-09-11,CHI,WAS,fanduel,0.6784,100.0,-122.0,False,,,,0,,
2024-09-15,CHI,PHO,fanduel,0.6294,110.0,-134.0,False,,,,0,,
2024-05-14,CON,IND,fanduel,0.7951,-290.0,225.0,False,,,,1,,
2024-05-17,CON,WAS,fanduel,0.6764,-470.0,340.0,False,,,,1,,
2024-05-23,CON,MIN,fanduel,0.6965,-265.0,210.0,False,,,,1,,
2024-05-28,CON,PHO,fanduel,0.8242,-325.0,250.0,False,,,,1,,
2024-05-31,CON,DAL,fanduel,0.5979,-385.0,290.0,True,DAL,15.8,290.0,1,0.0,-1.0
2024-06-04,CON,WAS,fanduel,0.8297,-1200.0,680.0,False,,,,1,,
2024-06-08,CON,NYL,fanduel,0.4336,114.0,-140.0,False,,,,0,,
2024-06-10,CON,IND,fanduel,0.8707,-600.0,420.0,False,,,,1,,
2024-06-18,CON,LA,fanduel,0.8692,-1250.0,710.0,False,,,,1,,
2024-06-28,CON,ATL,fanduel,0.8557,-520.0,370.0,False,,,,0,,
2024-07-07,CON,ATL,fanduel,0.8319,-1250.0,710.0,False,,,,1,,
2024-07-10,CON,NYL,fanduel,0.2716,106.0,-130.0,True,NYL,19.04,-130.0,0,1.0,0.7692
2024-07-14,CON,PHO,fanduel,0.5538,-320.0,245.0,True,PHO,17.06,245.0,1,0.0,-1.0
2024-08-20,CON,LA,fanduel,0.8822,-1300.0,730.0,False,,,,1,,
2024-08-23,CON,CHI,fanduel,0.7766,-700.0,470.0,False,,,,1,,
2024-09-01,CON,SEA,fanduel,0.7623,-114.0,-106.0,False,,,,1,,
2024-09-03,CON,SEA,fanduel,0.791,-172.0,140.0,False,,,,0,,
2024-09-06,CON,LA,fanduel,0.4732,110.0,-134.0,False,,,,0,,
2024-09-17,CON,MIN,fanduel,0.432,-122.0,100.0,False,,,,0,,
2024-09-19,CON,CHI,fanduel,0.8219,-1600.0,820.0,False,,,,1,,
2024-05-15,DAL,CHI,fanduel,0.5251,-400.0,250.0,True,CHI,21.18,250.0,1,0.0,-1.0
2024-05-18,DAL,CHI,fanduel,0.4991,-215.0,172.0,True,CHI,15.08,172.0,0,1.0,1.72
2024-06-05,DAL,LA,fanduel,0.2895,320.0,-430.0,False,,,,0,,
2024-06-09,DAL,PHO,fanduel,0.7809,-104.0,-118.0,False,,,,0,,
2024-06-13,DAL,SEA,fanduel,0.4276,240.0,-310.0,False,,,,0,,
2024-06-27,DAL,MIN,fanduel,0.2029,320.0,-430.0,False,,,,1,,
2024-07-03,DAL,PHO,fanduel,0.2664,190.0,-235.0,False,,,,0,,
2024-07-05,DAL,ATL,fanduel,0.3477,-196.0,158.0,True,ATL,28.3,158.0,1,0.0,-1.0
2024-07-13,DAL,LA,fanduel,0.3259,-168.0,136.0,True,LA,27.08,136.0,0,1.0,1.36
2024-07-17,DAL,IND,fanduel,0.316,172.0,-215.0,False,,,,1,,
2024-08-16,DAL,CON,fanduel,0.4546,205.0,-260.0,False,,,,0,,
2024-08-25,DAL,LA,fanduel,0.5637,-320.0,245.0,True,LA,16.07,245.0,1,0.0,-1.0
2024-08-27,DAL,LA,fanduel,0.207,370.0,-520.0,False,,,,1,,
2024-08-30,DAL,MIN,fanduel,0.3147,270.0,-355.0,False,,,,1,,
2024-09-01,DAL,IND,fanduel,0.4365,134.0,-164.0,False,,,,0,,
2024-09-03,DAL,WAS,fanduel,0.4628,-260.0,205.0,True,WAS,22.5,205.0,0,1.0,2.05
2024-09-10,DAL,NYL,fanduel,0.1845,410.0,-590.0,False,,,,0,,
2024-09-12,DAL,NYL,fanduel,0.1317,440.0,-650.0,False,,,,0,,
2024-09-13,DAL,SEA,fanduel,0.2046,370.0,-520.0,False,,,,0,,
2024-05-16,IND,NYL,fanduel,0.3682,290.0,-385.0,False,,,,0,,
2024-05-20,IND,CON,fanduel,0.2238,184.0,-230.0,False,,,,0,,
2024-05-28,IND,LA,fanduel,0.3824,-235.0,186.0,True,LA,28.5,186.0,0,1.0,1.86
2024-05-30,IND,SEA,fanduel,0.4787,198.0,-250.0,False,,,,0,,
2024-06-01,IND,CHI,fanduel,0.2416,-104.0,-118.0,True,CHI,24.34,-118.0,1,0.0,-1.0
2024-06-13,IND,ATL,fanduel,0.2344,114.0,-140.0,True,ATL,21.04,-140.0,1,0.0,-1.0
2024-06-16,IND,CHI,fanduel,0.2829,-154.0,126.0,True,CHI,29.52,126.0,1,0.0,-1.0
2024-06-19,IND,WAS,fanduel,0.3212,-230.0,184.0,True,WAS,34.31,184.0,1,0.0,-1.0
2024-07-06,IND,NYL,fanduel,0.1134,410.0,-590.0,False,,,,1,,
2024-07-10,IND,WAS,fanduel,0.2051,-355.0,270.0,True,WAS,53.76,270.0,0,1.0,2.7
2024-07-12,IND,PHO,fanduel,0.302,-122.0,100.0,False,,,,1,,
2024-08-16,IND,PHO,fanduel,0.4557,-160.0,130.0,False,,,,1,,
2024-08-18,IND,SEA,fanduel,0.2928,140.0,-176.0,False,,,,1,,
2024-08-28,IND,CON,fanduel,0.398,148.0,-184.0,False,,,,1,,
2024-09-04,IND,LA,fanduel,0.7281,-750.0,490.0,False,,,,1,,
2024-09-06,IND,MIN,fanduel,0.5817,128.0,-158.0,False,,,,0,,
2024-09-08,IND,ATL,fanduel,0.5097,-250.0,198.0,True,ATL,17.07,198.0,1,0.0,-1.0
2024-09-11,IND,LA,fanduel,0.4027,156.0,-194.0,False,,,,0,,
2024-09-13,IND,LA,fanduel,0.4308,164.0,-205.0,False,,,,0,,
2024-09-15,IND,DAL,fanduel,0.5823,-470.0,330.0,False,,,,1,,
2024-05-15,LA,ATL,fanduel,0.4851,148.0,-184.0,False,,,,0,,
