game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_pct,home_won,result_correct,pnl_per_unit
2025-05-22,ATL,IND,fanduel,0.4037,168.0,-210.0,True,ATL,4.86,168.0,1.22,0,0.0,-1.0
2025-05-24,ATL,DAL,fanduel,0.6523,-310.0,240.0,True,DAL,6.77,240.0,1.9,1,0.0,-1.0
2025-05-25,ATL,CON,fanduel,0.5194,-320.0,245.0,True,CON,20.5,245.0,6.72,1,0.0,-1.0
2025-06-10,ATL,IND,fanduel,0.5755,-235.0,186.0,True,IND,9.19,186.0,2.88,1,0.0,-1.0
2025-06-13,ATL,CHI,fanduel,0.8446,-950.0,590.0,False,,,,,1,,
2025-06-20,ATL,WAS,fanduel,0.8118,-450.0,330.0,True,ATL,3.32,-450.0,0.0,1,1.0,0.2222
2025-06-22,ATL,CHI,fanduel,0.8514,-2200.0,980.0,False,,,,,1,,
2025-06-27,ATL,MIN,fanduel,0.3302,140.0,-172.0,True,MIN,6.7,-172.0,2.55,0,1.0,0.5814
2025-06-29,ATL,NYL,fanduel,0.5341,-118.0,-104.0,True,ATL,1.92,-118.0,0.0,1,1.0,0.8475
2025-07-03,ATL,SEA,fanduel,0.5509,-118.0,-104.0,True,ATL,3.59,-118.0,0.52,0,0.0,-1.0
2025-07-07,ATL,GSV,fanduel,0.5541,-320.0,245.0,True,GSV,17.03,245.0,5.49,1,0.0,-1.0
2025-07-29,ATL,GSV,fanduel,0.6527,-420.0,310.0,False,,,,,0,,
2025-08-01,ATL,PHX,fanduel,0.4039,148.0,-184.0,True,ATL,2.02,148.0,0.5,1,1.0,1.48
2025-08-03,ATL,WAS,fanduel,0.6114,-230.0,184.0,True,WAS,5.29,184.0,1.41,1,0.0,-1.0
2025-08-15,ATL,SEA,fanduel,0.6121,-130.0,106.0,True,ATL,7.41,-130.0,2.7,0,0.0,-1.0
2025-08-21,ATL,MIN,fanduel,0.3938,-124.0,102.0,False,,,,,1,,
2025-08-23,ATL,NYL,fanduel,0.6122,-290.0,225.0,True,NYL,9.51,225.0,2.89,1,0.0,-1.0
2025-08-27,ATL,LVA,fanduel,0.4115,-164.0,134.0,True,LVA,18.09,134.0,7.04,0,1.0,1.34
2025-08-29,ATL,DAL,fanduel,0.8154,-1800.0,880.0,False,,,,,1,,
2025-09-03,ATL,LAS,fanduel,0.7247,-210.0,168.0,True,ATL,7.99,-210.0,3.66,1,1.0,0.4762
2025-09-05,ATL,LAS,fanduel,0.7289,-250.0,198.0,True,ATL,4.86,-250.0,1.28,1,1.0,0.4
2025-09-08,ATL,CON,fanduel,0.9038,-1250.0,710.0,True,ATL,2.14,-1250.0,0.0,1,1.0,0.08
2025-05-22,CHI,NYL,fanduel,0.1169,490.0,-750.0,True,NYL,4.42,-750.0,0.5,0,1.0,0.1333
2025-05-29,CHI,DAL,fanduel,0.2772,-104.0,-118.0,True,DAL,20.78,-118.0,9.89,1,0.0,-1.0
2025-06-07,CHI,IND,fanduel,0.3594,122.0,-150.0,True,IND,6.94,-150.0,2.54,0,1.0,0.6667
2025-06-17,CHI,WAS,fanduel,0.5212,164.0,-205.0,True,CHI,16.07,164.0,5.73,0,0.0,-1.0
2025-06-21,CHI,PHX,fanduel,0.2938,410.0,-590.0,False,,,,,0,,
2025-06-24,CHI,LAS,fanduel,0.632,180.0,-225.0,True,CHI,29.17,180.0,10.69,1,1.0,1.8
2025-07-09,CHI,DAL,fanduel,0.5995,-128.0,104.0,True,CHI,6.57,-128.0,2.17,1,1.0,0.7812
2025-07-12,CHI,MIN,fanduel,0.2458,440.0,-650.0,False,,,,,1,,
2025-07-14,CHI,MIN,fanduel,0.2523,490.0,-750.0,False,,,,,0,,
2025-07-16,CHI,ATL,fanduel,0.3168,360.0,-500.0,False,,,,,0,,
2025-07-24,CHI,SEA,fanduel,0.2789,410.0,-590.0,False,,,,,0,,
2025-07-27,CHI,IND,fanduel,0.2595,470.0,-700.0,False,,,,,0,,
2025-08-01,CHI,GSV,fanduel,0.2803,156.0,-194.0,True,GSV,9.16,-194.0,4.4,0,1.0,0.5155
2025-08-03,CHI,PHX,fanduel,0.2515,520.0,-800.0,False,,,,,0,,
2025-08-05,CHI,WAS,fanduel,0.2559,186.0,-235.0,True,WAS,7.67,-235.0,3.57,1,0.0,-1.0
2025-08-07,CHI,ATL,fanduel,0.2367,410.0,-590.0,False,,,,,0,,
2025-08-15,CHI,GSV,fanduel,0.2476,265.0,-350.0,True,GSV,1.29,-350.0,0.0,0,1.0,0.2857
2025-08-19,CHI,SEA,fanduel,0.2398,410.0,-590.0,False,,,,,0,,
2025-08-23,CHI,CON,fanduel,0.361,-150.0,122.0,True,CON,21.01,122.0,8.58,0,1.0,1.22
2025-08-25,CHI,LVA,fanduel,0.2341,410.0,-590.0,False,,,,,0,,
2025-09-03,CHI,CON,fanduel,0.4809,-130.0,106.0,True,CON,5.71,106.0,1.64,1,0.0,-1.0
2025-09-11,CHI,NYL,fanduel,0.2474,790.0,-1500.0,False,,,,,0,,
2025-05-18,CON,WAS,fanduel,0.7539,126.0,-154.0,True,CON,33.2,126.0,13.96,0,0.0,-1.0
2025-05-20,CON,LVA,fanduel,0.5142,680.0,-1200.0,False,,,,,0,,
2025-05-27,CON,DAL,fanduel,0.7345,156.0,-194.0,True,CON,36.26,156.0,14.11,0,0.0,-1.0
2025-06-06,CON,ATL,fanduel,0.2902,390.0,-550.0,False,,,,,1,,
2025-06-15,CON,CHI,fanduel,0.6161,-134.0,110.0,True,CON,7.01,-134.0,2.54,0,0.0,-1.0
2025-06-18,CON,PHX,fanduel,0.2891,710.0,-1250.0,False,,,,,0,,
2025-06-20,CON,DAL,fanduel,0.3287,154.0,-192.0,True,DAL,4.58,-192.0,1.0,0,1.0,0.5208
2025-07-06,CON,LVA,fanduel,0.282,1200.0,-3500.0,False,,,,,0,,
2025-07-09,CON,SEA,fanduel,0.2551,920.0,-2000.0,False,,,,,1,,
2025-07-15,CON,IND,fanduel,0.2617,710.0,-1250.0,False,,,,,0,,
2025-07-24,CON,LAS,fanduel,0.2856,205.0,-260.0,True,LAS,2.66,-260.0,0.0,0,1.0,0.3846
2025-07-27,CON,GSV,fanduel,0.2865,176.0,-220.0,True,GSV,5.86,-220.0,2.08,1,0.0,-1.0
2025-07-28,CON,SEA,fanduel,0.3782,440.0,-650.0,False,,,,,0,,
2025-08-01,CON,NYL,fanduel,0.2814,520.0,-800.0,False,,,,,1,,
2025-08-03,CON,NYL,fanduel,0.2985,440.0,-650.0,False,,,,,0,,
2025-08-13,CON,CHI,fanduel,0.6556,-176.0,142.0,True,CON,4.88,-176.0,1.24,1,1.0,0.5682
2025-08-17,CON,IND,fanduel,0.3868,220.0,-280.0,True,CON,8.9,220.0,2.7,0,0.0,-1.0
2025-08-21,CON,WAS,fanduel,0.3927,122.0,-150.0,True,WAS,3.62,-150.0,0.5,1,0.0,-1.0
2025-08-30,CON,MIN,fanduel,0.2763,540.0,-850.0,False,,,,,0,,
2025-09-01,CON,ATL,fanduel,0.263,420.0,-600.0,False,,,,,0,,
2025-09-06,CON,PHX,fanduel,0.2706,420.0,-600.0,False,,,,,1,,
2025-09-10,CON,ATL,fanduel,0.1426,540.0,-850.0,False,,,,,0,,
2025-05-16,DAL,MIN,fanduel,0.2814,176.0,-220.0,True,MIN,6.37,-220.0,2.49,0,1.0,0.4545
2025-05-19,DAL,SEA,fanduel,0.2783,126.0,-154.0,True,SEA,14.36,-154.0,7.33,0,1.0,0.6494
2025-05-31,DAL,CHI,fanduel,0.6044,-140.0,114.0,True,DAL,4.92,-140.0,1.26,0,0.0,-1.0
2025-06-06,DAL,LAS,fanduel,0.5736,128.0,-158.0,True,DAL,15.63,128.0,6.01,0,0.0,-1.0
2025-06-08,DAL,MIN,fanduel,0.2419,520.0,-800.0,False,,,,,0,,
2025-06-17,DAL,GSV,fanduel,0.4899,-170.0,138.0,True,GSV,10.99,138.0,3.88,1,0.0,-1.0
2025-06-24,DAL,ATL,fanduel,0.2487,270.0,-355.0,False,,,,,1,,
2025-06-27,DAL,IND,fanduel,0.3845,108.0,-132.0,True,IND,7.35,-132.0,2.7,0,1.0,0.7576
2025-06-28,DAL,WAS,fanduel,0.3761,270.0,-355.0,True,DAL,11.88,270.0,3.63,1,1.0,2.7
2025-07-03,DAL,PHX,fanduel,0.2743,470.0,-700.0,False,,,,,1,,
2025-07-16,DAL,LVA,fanduel,0.2738,205.0,-260.0,True,LVA,3.85,-260.0,0.5,0,1.0,0.3846
2025-07-27,DAL,LVA,fanduel,0.3624,265.0,-350.0,True,DAL,10.19,265.0,3.04,0,0.0,-1.0
2025-07-28,DAL,NYL,fanduel,0.236,280.0,-370.0,True,NYL,1.45,-370.0,0.0,1,0.0,-1.0
2025-07-30,DAL,ATL,fanduel,0.282,116.0,-142.0,True,ATL,15.91,-142.0,7.94,0,1.0,0.7042
2025-08-01,DAL,IND,fanduel,0.2729,142.0,-176.0,True,IND,12.03,-176.0,6.17,0,1.0,0.5682
2025-08-08,DAL,NYL,fanduel,0.2512,490.0,-750.0,False,,,,,0,,
2025-08-10,DAL,WAS,fanduel,0.3922,-188.0,152.0,True,WAS,22.97,152.0,8.74,0,1.0,1.52
2025-08-15,DAL,LAS,fanduel,0.3029,180.0,-225.0,True,LAS,3.74,-225.0,0.5,0,1.0,0.4444
2025-08-22,DAL,SEA,fanduel,0.2758,290.0,-400.0,True,DAL,3.31,290.0,0.65,0,0.0,-1.0
2025-08-24,DAL,GSV,fanduel,0.3573,-104.0,-118.0,True,GSV,12.78,-118.0,5.53,0,1.0,0.8475
2025-08-27,DAL,CON,fanduel,0.2747,-102.0,-120.0,True,CON,20.6,-120.0,9.89,0,1.0,0.8333
2025-09-11,DAL,PHX,fanduel,0.2351,186.0,-235.0,True,PHX,9.75,-235.0,5.31,1,0.0,-1.0
2025-05-16,GSV,LAS,fanduel,0.4058,205.0,-260.0,True,GSV,9.36,205.0,2.9,0,0.0,-1.0
2025-05-21,GSV,WAS,fanduel,0.304,172.0,-215.0,True,WAS,4.6,-215.0,1.06,1,0.0,-1.0
2025-06-01,GSV,MIN,fanduel,0.2495,630.0,-1050.0,False,,,,,0,,
2025-06-07,GSV,LVA,fanduel,0.2559,570.0,-900.0,False,,,,,1,,
2025-06-14,GSV,SEA,fanduel,0.29,360.0,-500.0,False,,,,,1,,
2025-06-19,GSV,IND,fanduel,0.3843,430.0,-620.0,False,,,,,1,,
2025-06-22,GSV,CON,fanduel,0.6487,-520.0,370.0,False,,,,,1,,
2025-06-25,GSV,NYL,fanduel,0.2989,350.0,-480.0,False,,,,,0,,
2025-06-27,GSV,CHI,fanduel,0.5634,-470.0,340.0,False,,,,,1,,
2025-06-29,GSV,SEA,fanduel,0.29,180.0,-225.0,True,SEA,5.03,-225.0,1.44,1,0.0,-1.0
2025-07-14,GSV,PHX,fanduel,0.3191,-144.0,118.0,True,PHX,24.35,118.0,10.26,0,1.0,1.18
2025-07-25,GSV,DAL,fanduel,0.5622,-178.0,144.0,True,DAL,4.75,144.0,1.18,1,0.0,-1.0
2025-08-06,GSV,LVA,fanduel,0.4977,172.0,-215.0,True,GSV,14.76,172.0,5.14,0,0.0,-1.0
2025-08-09,GSV,LAS,fanduel,0.3879,152.0,-188.0,False,,,,,1,,
2025-08-11,GSV,CON,fanduel,0.5476,-430.0,320.0,False,,,,,1,,
2025-08-17,GSV,ATL,fanduel,0.4067,152.0,-188.0,True,GSV,2.86,152.0,0.5,0,0.0,-1.0
2025-08-19,GSV,PHX,fanduel,0.4233,240.0,-310.0,True,GSV,14.32,240.0,4.58,0,0.0,-1.0
2025-08-30,GSV,WAS,fanduel,0.6559,-176.0,142.0,True,GSV,4.91,-176.0,1.26,1,1.0,0.5682
2025-08-31,GSV,IND,fanduel,0.6301,118.0,-144.0,True,GSV,19.28,118.0,7.92,1,1.0,1.18
2025-09-02,GSV,NYL,fanduel,0.5638,186.0,-235.0,True,GSV,23.12,186.0,8.23,1,1.0,1.86
2025-09-04,GSV,DAL,fanduel,0.6949,-700.0,470.0,False,,,,,1,,
2025-09-06,GSV,MIN,fanduel,0.317,210.0,-265.0,False,,,,,0,,
2025-05-17,IND,CHI,fanduel,0.7101,-375.0,285.0,True,CHI,4.23,285.0,1.02,1,0.0,-1.0
2025-05-20,IND,ATL,fanduel,0.642,-340.0,260.0,True,ATL,9.36,260.0,2.78,0,1.0,2.6
2025-05-24,IND,NYL,fanduel,0.2884,152.0,-188.0,True,NYL,8.96,-188.0,4.24,0,1.0,0.5319
2025-05-30,IND,CON,fanduel,0.6502,-700.0,470.0,False,,,,,0,,
2025-06-03,IND,WAS,fanduel,0.6618,-215.0,172.0,True,IND,1.19,-215.0,0.0,1,1.0,0.4651
2025-06-14,IND,NYL,fanduel,0.2839,142.0,-176.0,True,NYL,10.93,-176.0,5.41,1,0.0,-1.0
2025-06-17,IND,CON,fanduel,0.7956,-2500.0,1040.0,False,,,,,1,,
2025-06-26,IND,LAS,fanduel,0.81,-250.0,198.0,True,IND,12.97,-250.0,8.38,0,0.0,-1.0
2025-07-03,IND,LVA,fanduel,0.5316,160.0,-200.0,True,IND,16.57,160.0,5.97,1,1.0,1.6
2025-07-05,IND,LAS,fanduel,0.8051,-245.0,194.0,True,IND,12.9,-245.0,8.19,0,0.0,-1.0
2025-07-09,IND,GSV,fanduel,0.6011,-340.0,260.0,True,GSV,13.45,260.0,4.19,0,1.0,2.6
2025-07-11,IND,ATL,fanduel,0.3962,-120.0,-102.0,True,ATL,12.31,-102.0,4.99,1,0.0,-1.0
2025-07-13,IND,DAL,fanduel,0.6715,-480.0,350.0,False,,,,,1,,
2025-07-24,IND,LVA,fanduel,0.4166,112.0,-138.0,True,LVA,3.2,-138.0,0.5,1,0.0,-1.0
2025-07-30,IND,PHX,fanduel,0.5381,132.0,-162.0,True,IND,12.74,132.0,4.7,1,1.0,1.32
2025-08-09,IND,CHI,fanduel,0.7656,-600.0,420.0,False,,,,,1,,
2025-08-12,IND,DAL,fanduel,0.6579,-480.0,350.0,False,,,,,0,,
2025-08-15,IND,WAS,fanduel,0.5443,-420.0,310.0,False,,,,,0,,
2025-08-22,IND,MIN,fanduel,0.3055,164.0,-205.0,True,MIN,5.5,-205.0,1.71,0,1.0,0.4878
2025-08-26,IND,SEA,fanduel,0.3635,148.0,-184.0,True,SEA,2.01,-184.0,0.0,1,0.0,-1.0
2025-09-05,IND,CHI,fanduel,0.6125,-750.0,490.0,False,,,,,1,,
