game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_pct,home_won,result_correct,pnl_per_unit
2024-05-21,ATL,DAL,nordicbet,0.3451,-263.0,195.0,True,DAL,33.62,195.0,11.95,1,0.0,-1.0
2024-05-26,ATL,MIN,nordicbet,0.3973,-185.0,140.0,True,MIN,21.17,140.0,7.97,0,1.0,1.4
2024-05-31,ATL,LVA,nordicbet,0.2838,290.0,-417.0,True,ATL,4.26,290.0,0.92,1,1.0,2.9
2024-06-02,ATL,CON,nordicbet,0.398,118.0,-154.0,True,CON,3.27,-154.0,0.0,0,1.0,0.6494
2024-06-06,ATL,NYL,nordicbet,0.2847,210.0,-286.0,True,NYL,1.86,-286.0,0.0,0,1.0,0.3497
2024-06-11,ATL,WAS,nordicbet,0.6493,-345.0,245.0,True,WAS,7.85,245.0,2.14,0,1.0,2.45
2024-06-16,ATL,LAS,nordicbet,0.6178,-238.0,175.0,True,LAS,4.17,175.0,0.73,1,0.0,-1.0
2024-06-21,ATL,IND,nordicbet,0.5388,128.0,-167.0,True,ATL,12.66,128.0,4.46,0,0.0,-1.0
2024-06-23,ATL,NYL,nordicbet,0.2686,345.0,-526.0,False,,,,,0,,
2024-07-02,ATL,CHI,nordicbet,0.5315,-109.0,-119.0,True,ATL,4.18,-109.0,0.52,0,0.0,-1.0
2024-07-12,ATL,LVA,nordicbet,0.1395,730.0,-1667.0,False,,,,,0,,
2024-08-16,ATL,SEA,nordicbet,0.2412,265.0,-385.0,True,SEA,1.54,-385.0,0.0,1,0.0,-1.0
2024-08-18,ATL,CON,nordicbet,0.2487,320.0,-476.0,False,,,,,1,,
2024-08-21,ATL,PHX,nordicbet,0.4276,128.0,-167.0,True,ATL,1.54,128.0,0.0,1,1.0,1.28
2024-08-23,ATL,PHX,nordicbet,0.5503,105.0,-137.0,False,,,,,0,,
2024-08-26,ATL,IND,nordicbet,0.3132,100.0,-130.0,True,IND,15.62,-130.0,6.99,0,1.0,0.7692
2024-09-06,ATL,DAL,nordicbet,0.5258,-156.0,121.0,True,DAL,4.81,121.0,0.99,1,0.0,-1.0
2024-09-10,ATL,MIN,nordicbet,0.2759,185.0,-250.0,True,MIN,5.35,-250.0,0.86,0,1.0,0.4
2024-09-13,ATL,WAS,nordicbet,0.3794,-179.0,137.0,True,WAS,22.38,137.0,8.59,0,1.0,1.37
2024-09-17,ATL,CHI,nordicbet,0.6476,-625.0,390.0,False,,,,,1,,
2024-05-25,CHI,CON,nordicbet,0.5127,155.0,-208.0,True,CHI,14.53,155.0,4.96,0,0.0,-1.0
2024-05-30,CHI,LAS,nordicbet,0.6536,-208.0,155.0,True,CHI,2.1,-208.0,0.0,1,1.0,0.4808
2024-06-04,CHI,NYL,nordicbet,0.3112,255.0,-370.0,True,CHI,4.76,255.0,1.03,0,0.0,-1.0
2024-06-08,CHI,ATL,nordicbet,0.6626,-104.0,-123.0,True,CHI,18.23,-104.0,7.79,0,0.0,-1.0
2024-06-12,CHI,CON,nordicbet,0.3217,255.0,-370.0,True,CHI,5.81,255.0,1.39,0,0.0,-1.0
2024-06-20,CHI,DAL,nordicbet,0.6237,-208.0,155.0,False,,,,,1,,
2024-06-23,CHI,IND,nordicbet,0.5411,-154.0,118.0,True,IND,2.82,118.0,0.5,1,0.0,-1.0
2024-06-27,CHI,LVA,nordicbet,0.4037,445.0,-769.0,False,,,,,0,,
2024-06-30,CHI,MIN,nordicbet,0.2728,230.0,-323.0,True,MIN,1.13,-323.0,0.0,0,1.0,0.3096
2024-07-10,CHI,ATL,nordicbet,0.6463,-323.0,230.0,True,ATL,6.96,230.0,1.82,1,0.0,-1.0
2024-07-13,CHI,NYL,nordicbet,0.2655,145.0,-192.0,True,NYL,11.75,-192.0,5.62,0,1.0,0.5208
