game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,home_won,result_correct,pnl_per_unit
2024-05-21,ATL,DAL,pinnacle,0.4705,-249.0,212.0,True,DAL,21.95,212.0,1,0.0,-1.0
2024-05-26,ATL,MIN,pinnacle,0.4177,-185.0,159.0,True,MIN,20.93,159.0,0,1.0,1.59
2024-05-31,ATL,LA,pinnacle,0.2374,300.0,-361.0,False,,,,1,,
2024-06-02,ATL,CON,pinnacle,0.466,115.0,-132.0,False,,,,0,,
2024-06-06,ATL,NYL,pinnacle,0.39,229.0,-270.0,False,,,,0,,
2024-06-11,ATL,WAS,pinnacle,0.7124,-279.0,236.0,False,,,,0,,
2024-06-16,ATL,LA,pinnacle,0.5383,-213.0,183.0,False,,,,1,,
2024-06-21,ATL,IND,pinnacle,0.5977,129.0,-148.0,False,,,,0,,
2024-06-23,ATL,NYL,pinnacle,0.3626,361.0,-442.0,False,,,,0,,
2024-07-02,ATL,CHI,pinnacle,0.441,101.0,-116.0,False,,,,0,,
2024-07-12,ATL,LA,pinnacle,0.2936,988.0,-1401.0,False,,,,0,,
2024-08-16,ATL,SEA,pinnacle,0.3616,281.0,-337.0,False,,,,1,,
2024-08-18,ATL,CON,pinnacle,0.3651,338.0,-412.0,False,,,,1,,
2024-08-21,ATL,PHO,pinnacle,0.5823,131.0,-150.0,False,,,,1,,
2024-08-23,ATL,PHO,pinnacle,0.491,112.0,-129.0,False,,,,0,,
2024-08-26,ATL,IND,pinnacle,0.3539,103.0,-118.0,False,,,,0,,
2024-09-06,ATL,DAL,pinnacle,0.3687,-136.0,119.0,False,,,,1,,
2024-09-10,ATL,MIN,pinnacle,0.5357,198.0,-232.0,False,,,,0,,
2024-09-13,ATL,WAS,pinnacle,0.6121,-165.0,143.0,False,,,,0,,
2024-09-17,ATL,CHI,pinnacle,0.6722,-513.0,413.0,False,,,,1,,
2024-05-25,CHI,CON,pinnacle,0.4521,188.0,-219.0,False,,,,0,,
2024-05-30,CHI,LA,pinnacle,0.7911,-188.0,162.0,False,,,,1,,
2024-06-04,CHI,NYL,pinnacle,0.474,303.0,-365.0,False,,,,0,,
2024-06-08,CHI,ATL,pinnacle,0.6708,102.0,-117.0,False,,,,0,,
2024-06-12,CHI,CON,pinnacle,0.3952,272.0,-325.0,False,,,,0,,
2024-06-20,CHI,DAL,pinnacle,0.589,-215.0,185.0,False,,,,1,,
2024-06-23,CHI,IND,pinnacle,0.6534,-122.0,106.0,False,,,,1,,
2024-06-27,CHI,LA,pinnacle,0.3199,446.0,-559.0,False,,,,0,,
2024-06-30,CHI,MIN,pinnacle,0.2137,249.0,-296.0,False,,,,0,,
2024-07-10,CHI,ATL,pinnacle,0.8003,-293.0,247.0,False,,,,1,,
2024-07-13,CHI,NYL,pinnacle,0.1963,164.0,-190.0,True,NYL,17.01,-190.0,0,1.0,0.5263
2024-08-15,CHI,PHO,pinnacle,0.4057,185.0,-215.0,False,,,,0,,
