game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_pct,home_won,result_correct,pnl_per_unit
2025-05-22,ATL,IND,pinnacle,0.4037,157.0,-185.0,True,ATL,2.9,157.0,0.6,0,0.0,-1.0
2025-05-24,ATL,DAL,pinnacle,0.6523,-304.0,250.0,True,DAL,7.25,250.0,2.17,1,0.0,-1.0
2025-05-25,ATL,CON,pinnacle,0.5194,-361.0,292.0,True,CON,23.48,292.0,7.57,1,0.0,-1.0
2025-06-10,ATL,IND,pinnacle,0.5755,-222.0,186.0,True,IND,8.8,186.0,2.88,1,0.0,-1.0
2025-06-13,ATL,CHI,pinnacle,0.8446,-807.0,595.0,False,,,,,1,,
2025-06-20,ATL,WAS,pinnacle,0.8118,-421.0,319.0,True,ATL,3.98,-421.0,0.5,1,1.0,0.2375
2025-06-22,ATL,CHI,pinnacle,0.8514,-1384.0,936.0,False,,,,,1,,
2025-06-27,ATL,MIN,pinnacle,0.3302,136.0,-159.0,True,MIN,7.81,-159.0,3.62,0,1.0,0.6289
2025-06-29,ATL,NYL,pinnacle,0.5341,-120.0,103.0,False,,,,,1,,
2025-07-03,ATL,SEA,pinnacle,0.5509,-121.0,103.0,True,ATL,2.45,-121.0,0.5,0,0.0,-1.0
2025-07-07,ATL,GSV,pinnacle,0.5541,-311.0,255.0,True,GSV,17.46,255.0,5.72,1,0.0,-1.0
2025-07-29,ATL,GSV,pinnacle,0.6527,-422.0,337.0,False,,,,,0,,
2025-08-01,ATL,PHX,pinnacle,0.4039,148.0,-174.0,True,ATL,1.55,148.0,0.5,1,1.0,1.48
2025-08-03,ATL,WAS,pinnacle,0.6114,-242.0,202.0,True,WAS,6.98,202.0,2.15,1,0.0,-1.0
2025-08-15,ATL,SEA,pinnacle,0.6121,-120.0,102.0,True,ATL,8.78,-120.0,3.67,0,0.0,-1.0
2025-08-21,ATL,MIN,pinnacle,0.3938,-107.0,-109.0,True,MIN,10.4,-109.0,4.42,1,0.0,-1.0
2025-08-23,ATL,NYL,pinnacle,0.6122,-266.0,221.0,True,NYL,8.77,221.0,2.77,1,0.0,-1.0
2025-08-27,ATL,LVA,pinnacle,0.4115,-163.0,139.0,True,LVA,18.55,139.0,7.31,0,1.0,1.39
2025-08-29,ATL,DAL,pinnacle,0.8154,-1185.0,823.0,False,,,,,1,,
2025-09-03,ATL,LAS,pinnacle,0.7247,-199.0,168.0,True,ATL,8.39,-199.0,4.42,1,1.0,0.5025
2025-09-05,ATL,LAS,pinnacle,0.7289,-234.0,196.0,True,ATL,5.43,-234.0,2.36,1,1.0,0.4274
2025-09-08,ATL,CON,pinnacle,0.9038,-1095.0,771.0,True,ATL,1.51,-1095.0,0.0,1,1.0,0.0913
2025-05-22,CHI,NYL,pinnacle,0.1169,502.0,-662.0,True,NYL,4.36,-662.0,2.73,0,1.0,0.1511
2025-05-29,CHI,DAL,pinnacle,0.2772,-111.0,-105.0,True,DAL,22.95,-105.0,10.79,1,0.0,-1.0
2025-06-07,CHI,IND,pinnacle,0.3594,133.0,-156.0,True,IND,5.38,-156.0,2.0,0,1.0,0.641
2025-06-17,CHI,WAS,pinnacle,0.5212,169.0,-200.0,True,CHI,16.32,169.0,5.95,0,0.0,-1.0
2025-06-21,CHI,PHX,pinnacle,0.2938,399.0,-510.0,False,,,,,0,,
2025-06-24,CHI,LAS,pinnacle,0.632,182.0,-216.0,True,CHI,29.04,182.0,10.75,1,1.0,1.82
2025-07-09,CHI,DAL,pinnacle,0.5995,-123.0,105.0,True,CHI,6.88,-123.0,2.67,1,1.0,0.813
2025-07-12,CHI,MIN,pinnacle,0.2458,468.0,-611.0,False,,,,,1,,
2025-07-14,CHI,MIN,pinnacle,0.2523,475.0,-622.0,False,,,,,0,,
2025-07-16,CHI,ATL,pinnacle,0.3168,346.0,-434.0,False,,,,,0,,
2025-07-24,CHI,SEA,pinnacle,0.2789,394.0,-536.0,False,,,,,0,,
2025-07-27,CHI,IND,pinnacle,0.2595,420.0,-540.0,False,,,,,0,,
2025-08-01,CHI,GSV,pinnacle,0.2803,164.0,-194.0,True,GSV,8.44,-194.0,4.4,0,1.0,0.5155
2025-08-03,CHI,PHX,pinnacle,0.2515,640.0,-879.0,False,,,,,0,,
2025-08-05,CHI,WAS,pinnacle,0.2559,197.0,-236.0,True,WAS,6.81,-236.0,3.5,1,0.0,-1.0
2025-08-07,CHI,ATL,pinnacle,0.2367,412.0,-529.0,False,,,,,0,,
2025-08-15,CHI,GSV,pinnacle,0.2476,252.0,-306.0,True,GSV,2.62,-306.0,0.0,0,1.0,0.3268
2025-08-19,CHI,SEA,pinnacle,0.2398,489.0,-642.0,False,,,,,0,,
2025-08-23,CHI,CON,pinnacle,0.361,-142.0,122.0,True,CON,20.47,122.0,8.58,0,1.0,1.22
2025-08-25,CHI,LVA,pinnacle,0.2341,427.0,-551.0,False,,,,,0,,
2025-09-03,CHI,CON,pinnacle,0.4809,-131.0,112.0,True,CON,6.5,112.0,2.24,1,0.0,-1.0
2025-09-11,CHI,NYL,pinnacle,0.2474,733.0,-1031.0,False,,,,,0,,
2025-05-18,CON,WAS,pinnacle,0.7539,134.0,-157.0,True,CON,34.22,134.0,14.26,0,0.0,-1.0
2025-05-20,CON,LVA,pinnacle,0.5142,698.0,-973.0,False,,,,,0,,
2025-05-27,CON,DAL,pinnacle,0.7345,164.0,-195.0,True,CON,37.02,164.0,14.32,0,0.0,-1.0
2025-06-06,CON,ATL,pinnacle,0.2902,380.0,-483.0,False,,,,,1,,
2025-06-15,CON,CHI,pinnacle,0.6161,-127.0,108.0,True,CON,7.82,-127.0,3.21,0,0.0,-1.0
2025-06-18,CON,PHX,pinnacle,0.2891,751.0,-1061.0,False,,,,,0,,
2025-06-20,CON,DAL,pinnacle,0.3287,164.0,-202.0,True,DAL,3.29,-202.0,0.5,0,1.0,0.495
2025-07-06,CON,LVA,pinnacle,0.282,860.0,-1688.0,False,,,,,0,,
2025-07-09,CON,SEA,pinnacle,0.2551,864.0,-1699.0,False,,,,,1,,
2025-07-15,CON,IND,pinnacle,0.2617,729.0,-1025.0,False,,,,,0,,
2025-07-24,CON,LAS,pinnacle,0.2856,211.0,-253.0,True,LAS,2.41,-253.0,0.0,0,1.0,0.3953
2025-07-27,CON,GSV,pinnacle,0.2865,200.0,-240.0,True,GSV,3.42,-240.0,0.65,1,0.0,-1.0
2025-07-28,CON,SEA,pinnacle,0.3782,433.0,-559.0,False,,,,,0,,
