game_date,home_team,away_team,model_prob_home,moneyline_home,moneyline_away,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_frac,expected_value,home_won,result_correct,pnl_per_unit
2023-05-30,ATL,CHI,0.2869,-130.0,110.0,False,,,,0.0,,1,,
2023-06-02,ATL,LA,0.4978,550.0,-750.0,False,,,,0.0,,0,,
2023-06-09,ATL,NYL,0.262,270.0,-325.0,False,,,,0.0,,0,,
2023-06-23,ATL,NYL,0.2293,300.0,-365.0,False,,,,0.0,,0,,
2023-06-30,ATL,WAS,0.2633,125.0,-145.0,True,WAS,16.56,-145.0,3.0,0.2449,1,0.0,-1.0
2023-07-02,ATL,LA,0.4339,-165.0,140.0,True,LA,16.52,140.0,3.0,0.3585,1,0.0,-1.0
2023-07-12,ATL,SEA,0.6574,-285.0,240.0,False,,,,0.0,,1,,
2023-07-18,ATL,MIN,0.5717,-255.0,215.0,False,,,,0.0,,1,,
2023-07-22,ATL,CON,0.2499,100.0,-122.0,True,CON,22.65,-122.0,3.0,0.3649,0,1.0,0.8197
2023-07-25,ATL,PHO,0.7928,-275.0,230.0,False,,,,0.0,,1,,
2023-07-30,ATL,WAS,0.5526,-240.0,200.0,False,,,,0.0,,1,,
2023-08-06,ATL,IND,0.7474,-380.0,300.0,False,,,,0.0,,1,,
2023-08-18,ATL,CHI,0.4184,-125.0,105.0,False,,,,0.0,,1,,
2023-08-22,ATL,LA,0.4207,900.0,-1600.0,False,,,,0.0,,0,,
2023-08-25,ATL,LA,0.4566,110.0,-130.0,False,,,,0.0,,0,,
2023-08-29,ATL,PHO,0.7353,-470.0,360.0,False,,,,0.0,,1,,
2023-09-06,ATL,SEA,0.6767,-375.0,295.0,False,,,,0.0,,1,,
2023-09-10,ATL,DAL,0.6143,-118.0,-102.0,False,,,,0.0,,0,,
2023-05-26,CHI,WAS,0.5037,138.0,-170.0,False,,,,0.0,,0,,
2023-06-02,CHI,NYL,0.5199,520.0,-720.0,False,,,,0.0,,0,,
2023-06-06,CHI,IND,0.7513,-260.0,220.0,False,,,,0.0,,1,,
2023-06-15,CHI,IND,0.6748,-155.0,135.0,False,,,,0.0,,0,,
2023-06-22,CHI,WAS,0.3943,135.0,-155.0,False,,,,0.0,,0,,
2023-06-28,CHI,LA,0.4145,-115.0,-105.0,False,,,,0.0,,1,,
2023-06-30,CHI,LA,0.5096,-145.0,125.0,False,,,,0.0,,1,,
2023-07-07,CHI,ATL,0.5898,-120.0,100.0,False,,,,0.0,,0,,
2023-07-09,CHI,ATL,0.5723,630.0,-1200.0,False,,,,0.0,,0,,
2023-07-12,CHI,CON,0.2509,142.0,-176.0,False,,,,0.0,,0,,
2023-07-25,CHI,LA,0.4795,1000.0,-1800.0,False,,,,0.0,,0,,
2023-07-28,CHI,SEA,0.7031,-215.0,185.0,False,,,,0.0,,0,,
2023-07-30,CHI,PHO,0.7184,-280.0,235.0,False,,,,0.0,,1,,
2023-08-08,CHI,MIN,0.7362,-170.0,142.0,False,,,,0.0,,0,,
2023-08-20,CHI,CON,0.445,210.0,-265.0,False,,,,0.0,,0,,
2023-08-22,CHI,SEA,0.4911,-142.0,120.0,False,,,,0.0,,1,,
2023-08-24,CHI,LA,0.4393,850.0,-1450.0,False,,,,0.0,,0,,
2023-09-03,CHI,NYL,0.4411,320.0,-410.0,False,,,,0.0,,0,,
2023-09-08,CHI,MIN,0.5405,-185.0,154.0,False,,,,0.0,,1,,
2023-05-21,CON,WAS,0.5142,-120.0,-102.0,False,,,,0.0,,1,,
2023-05-30,CON,IND,0.9263,-1050.0,630.0,False,,,,0.0,,1,,
2023-06-04,CON,DAL,0.5369,-450.0,310.0,True,DAL,23.35,310.0,3.0,0.8988,1,0.0,-1.0
2023-06-06,CON,LA,0.4246,210.0,-265.0,False,,,,0.0,,0,,
2023-06-15,CON,ATL,0.8679,-355.0,270.0,False,,,,0.0,,0,,
2023-06-25,CON,CHI,0.8033,-280.0,220.0,False,,,,0.0,,1,,
2023-06-27,CON,NYL,0.5462,172.0,-215.0,False,,,,0.0,,0,,
2023-07-06,CON,SEA,0.7077,-620.0,420.0,False,,,,0.0,,1,,
2023-07-20,CON,ATL,0.6882,-240.0,190.0,False,,,,0.0,,1,,
2023-07-30,CON,MIN,0.8421,-900.0,540.0,False,,,,0.0,,0,,
2023-08-01,CON,MIN,0.8689,-800.0,520.0,False,,,,0.0,,1,,
2023-08-18,CON,DAL,0.6159,-168.0,136.0,False,,,,0.0,,0,,
2023-08-24,CON,NYL,0.4573,168.0,-210.0,False,,,,0.0,,0,,
2023-08-31,CON,PHO,0.8441,-1200.0,680.0,False,,,,0.0,,1,,
2023-09-08,CON,IND,0.7611,-700.0,470.0,False,,,,0.0,,1,,
2023-09-10,CON,CHI,0.6164,-620.0,420.0,False,,,,0.0,,0,,
2023-05-20,DAL,ATL,0.5581,-155.0,135.0,False,,,,0.0,,1,,
2023-05-30,DAL,MIN,0.6317,-230.0,195.0,False,,,,0.0,,1,,
2023-06-07,DAL,PHO,0.5955,-450.0,340.0,False,,,,0.0,,1,,
2023-06-09,DAL,PHO,0.4837,-175.0,150.0,False,,,,0.0,,1,,
2023-06-14,DAL,LA,0.4493,-175.0,150.0,True,LA,16.47,150.0,3.0,0.3767,0,1.0,1.5
2023-06-20,DAL,ATL,0.6153,-155.0,135.0,False,,,,0.0,,1,,
