game_date,home_team,away_team,model_prob_home,moneyline_home,moneyline_away,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_frac,expected_value,home_won,result_correct,pnl_per_unit,Bet Size,Bet Results,10000
22/05/2025,ATL,IND,0.5315,164,-198,FALSE,,,,0,,0,,,0,0,10000
24/05/2025,ATL,DAL,0.6969,-250,205,FALSE,,,,0,,1,,,0,0,10000
25/05/2025,ATL,CON,0.4015,-425,330,FALSE,,,,0,,1,,,0,0,10000
10/06/2025,ATL,IND,0.4123,-192,160,TRUE,IND,21.87,160,3,0.5281,1,0,-1,100,0,9900
13/06/2025,ATL,CHI,0.8059,-700,500,FALSE,,,,0,,1,,,0,0,9900
20/06/2025,ATL,WAS,0.677,-410,320,FALSE,,,,0,,1,,,0,0,9900
22/06/2025,ATL,CHI,0.7801,-1450,850,FALSE,,,,0,,1,,,0,0,9900
27/06/2025,ATL,MIN,0.3492,-120,100,FALSE,,,,0,,0,,,0,0,9900
29/06/2025,ATL,NYL,0.3475,114,-135,FALSE,,,,0,,1,,,0,0,9900
03/07/2025,ATL,SEA,0.415,120,-142,FALSE,,,,0,,0,,,0,0,9900
07/07/2025,ATL,GSV,0.4597,-278,225,TRUE,GSV,24.54,225,3,0.7561,1,0,-1,100,0,9800
29/07/2025,ATL,GSV,0.6025,-355,280,FALSE,,,,0,,0,,,0,0,9800
01/08/2025,ATL,PHO,0.4618,136,-162,FALSE,,,,0,,1,,,0,0,9800
03/08/2025,ATL,WAS,0.567,-270,220,FALSE,,,,0,,1,,,0,0,9800
15/08/2025,ATL,SEA,0.6388,-142,120,FALSE,,,,0,,0,,,0,0,9800
21/08/2025,ATL,MIN,0.5058,124,-148,FALSE,,,,0,,1,,,0,0,9800
23/08/2025,ATL,NYL,0.514,-205,170,FALSE,,,,0,,1,,,0,0,9800
27/08/2025,ATL,LA,0.4777,-142,120,FALSE,,,,0,,0,,,0,0,9800
29/08/2025,ATL,DAL,0.8161,-1200,750,FALSE,,,,0,,1,,,0,0,9800
03/09/2025,ATL,LA,0.6424,-325,260,FALSE,,,,0,,1,,,0,0,9800
05/09/2025,ATL,LA,0.6968,-265,215,FALSE,,,,0,,1,,,0,0,9800
08/09/2025,ATL,CON,0.753,-1000,650,FALSE,,,,0,,1,,,0,0,9800
22/05/2025,CHI,NYL,0.1102,455,-625,FALSE,,,,0,,0,,,0,0,9800
29/05/2025,CHI,DAL,0.2005,114,-135,TRUE,DAL,24.81,-135,3,0.3917,1,0,-1,100,0,9700
07/06/2025,CHI,IND,0.3264,130,-155,FALSE,,,,0,,0,,,0,0,9700
17/06/2025,CHI,WAS,0.3641,170,-205,FALSE,,,,0,,0,,,0,0,9700
21/06/2025,CHI,PHO,0.4164,410,-550,FALSE,,,,0,,0,,,0,0,9700
24/06/2025,CHI,LA,0.6297,200,-245,FALSE,,,,0,,1,,,0,0,9700
09/07/2025,CHI,DAL,0.6553,-115,-105,FALSE,,,,0,,1,,,0,0,9700
12/07/2025,CHI,MIN,0.1642,455,-625,FALSE,,,,0,,1,,,0,0,9700
14/07/2025,CHI,MIN,0.2427,455,-625,FALSE,,,,0,,0,,,0,0,9700
16/07/2025,CHI,ATL,0.1941,300,-380,FALSE,,,,0,,0,,,0,0,9700
24/07/2025,CHI,SEA,0.2585,350,-455,FALSE,,,,0,,0,,,0,0,9700
27/07/2025,CHI,IND,0.2696,340,-440,FALSE,,,,0,,0,,,0,0,9700
01/08/2025,CHI,GSV,0.2345,200,-245,FALSE,,,,0,,0,,,0,0,9700
03/08/2025,CHI,PHO,0.1683,650,-1000,FALSE,,,,0,,0,,,0,0,9700
05/08/2025,CHI,WAS,0.1934,310,-395,FALSE,,,,0,,1,,,0,0,9700
07/08/2025,CHI,ATL,0.1427,320,-410,FALSE,,,,0,,0,,,0,0,9700
15/08/2025,CHI,GSV,0.2209,235,-290,FALSE,,,,0,,0,,,0,0,9700
19/08/2025,CHI,SEA,0.1354,455,-625,FALSE,,,,0,,0,,,0,0,9700
23/08/2025,CHI,CON,0.2191,-148,124,TRUE,CON,35.29,124,3,0.7492,0,1,1.24,100,224,9824
25/08/2025,CHI,LA,0.154,440,-600,FALSE,,,,0,,0,,,0,0,9824
03/09/2025,CHI,CON,0.2564,-125,105,FALSE,,,,0,,1,,,0,0,9824
11/09/2025,CHI,NYL,0.2149,575,-850,FALSE,,,,0,,0,,,0,0,9824
18/05/2025,CON,WAS,0.6819,145,-175,FALSE,,,,0,,0,,,0,0,9824
20/05/2025,CON,LA,0.5356,550,-800,FALSE,,,,0,,0,,,0,0,9824
27/05/2025,CON,DAL,0.6773,160,-192,FALSE,,,,0,,0,,,0,0,9824
