game_date,home_team,away_team,book,p_home_win,home_ml,away_ml,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_pct,home_won,result_correct,pnl_per_unit
2025-05-22,ATL,IND,unibet_uk,0.4037,175.0,-220.0,True,ATL,5.78,175.0,1.57,0,0.0,-1.0
2025-05-24,ATL,DAL,unibet_uk,0.6523,-335.0,255.0,True,DAL,7.99,255.0,2.3,1,0.0,-1.0
2025-05-25,ATL,CON,unibet_uk,0.5194,-360.0,280.0,True,CON,22.89,280.0,7.38,1,0.0,-1.0
2025-06-10,ATL,IND,unibet_uk,0.5755,-235.0,188.0,True,IND,9.35,188.0,2.96,1,0.0,-1.0
2025-06-13,ATL,CHI,unibet_uk,0.8446,-835.0,540.0,False,,,,,1,,
2025-06-20,ATL,WAS,unibet_uk,0.8118,-500.0,370.0,True,ATL,1.52,-500.0,0.0,1,1.0,0.2
2025-06-22,ATL,CHI,unibet_uk,0.8514,-2000.0,950.0,False,,,,,1,,
2025-06-27,ATL,MIN,unibet_uk,0.3302,148.0,-182.0,True,MIN,5.43,-182.0,1.72,0,1.0,0.5495
2025-06-29,ATL,NYL,unibet_uk,0.5341,-115.0,-106.0,True,ATL,2.44,-115.0,0.0,1,1.0,0.8696
2025-07-03,ATL,SEA,unibet_uk,0.5509,-121.0,100.0,True,ATL,2.82,-121.0,0.5,0,0.0,-1.0
2025-07-07,ATL,GSV,unibet_uk,0.5541,-315.0,240.0,True,GSV,16.66,240.0,5.38,1,0.0,-1.0
2025-07-29,ATL,GSV,unibet_uk,0.6527,-400.0,310.0,False,,,,,0,,
2025-08-01,ATL,PHX,unibet_uk,0.4039,143.0,-175.0,True,ATL,1.11,143.0,0.0,1,1.0,1.43
2025-08-03,ATL,WAS,unibet_uk,0.6114,-250.0,200.0,True,WAS,7.04,200.0,2.07,1,0.0,-1.0
2025-08-15,ATL,SEA,unibet_uk,0.6121,-129.0,106.0,True,ATL,7.49,-129.0,2.79,0,0.0,-1.0
2025-08-21,ATL,MIN,unibet_uk,0.3938,-127.0,104.0,False,,,,,1,,
2025-08-23,ATL,NYL,unibet_uk,0.6122,-278.0,220.0,True,NYL,8.96,220.0,2.74,1,0.0,-1.0
2025-08-27,ATL,LVA,unibet_uk,0.4115,-143.0,118.0,True,LVA,15.05,118.0,5.99,0,1.0,1.18
2025-08-29,ATL,DAL,unibet_uk,0.8154,-1667.0,850.0,False,,,,,1,,
2025-09-03,ATL,LAS,unibet_uk,0.7247,-210.0,170.0,True,ATL,7.82,-210.0,3.66,1,1.0,0.4762
2025-09-05,ATL,LAS,unibet_uk,0.7289,-250.0,200.0,True,ATL,4.71,-250.0,1.28,1,1.0,0.4
2025-09-08,ATL,CON,unibet_uk,0.9038,-1430.0,800.0,True,ATL,1.0,-1430.0,0.0,1,1.0,0.0699
2025-05-22,CHI,NYL,unibet_uk,0.1169,500.0,-770.0,True,NYL,4.16,-770.0,0.0,0,1.0,0.1299
2025-05-29,CHI,DAL,unibet_uk,0.2772,-114.0,-107.0,True,DAL,23.03,-107.0,10.65,1,0.0,-1.0
2025-06-07,CHI,IND,unibet_uk,0.3594,128.0,-157.0,True,IND,5.85,-157.0,1.91,0,1.0,0.6369
2025-06-17,CHI,WAS,unibet_uk,0.5212,163.0,-200.0,True,CHI,15.8,163.0,5.69,0,0.0,-1.0
2025-06-21,CHI,PHX,unibet_uk,0.2938,440.0,-625.0,False,,,,,0,,
2025-06-24,CHI,LAS,unibet_uk,0.632,175.0,-215.0,True,CHI,28.44,175.0,10.54,1,1.0,1.75
2025-07-09,CHI,DAL,unibet_uk,0.5995,-125.0,104.0,True,CHI,6.83,-125.0,2.47,1,1.0,0.8
2025-07-12,CHI,MIN,unibet_uk,0.2458,500.0,-715.0,False,,,,,1,,
2025-07-14,CHI,MIN,unibet_uk,0.2523,480.0,-715.0,False,,,,,0,,
2025-07-16,CHI,ATL,unibet_uk,0.3168,370.0,-500.0,False,,,,,0,,
2025-07-24,CHI,SEA,unibet_uk,0.2789,440.0,-625.0,False,,,,,0,,
2025-07-27,CHI,IND,unibet_uk,0.2595,500.0,-770.0,False,,,,,0,,
2025-08-01,CHI,GSV,unibet_uk,0.2803,170.0,-210.0,True,GSV,7.32,-210.0,3.28,0,1.0,0.4762
2025-08-03,CHI,PHX,unibet_uk,0.2515,650.0,-1115.0,False,,,,,0,,
2025-08-05,CHI,WAS,unibet_uk,0.2559,188.0,-235.0,True,WAS,7.52,-235.0,3.57,1,0.0,-1.0
2025-08-07,CHI,ATL,unibet_uk,0.2367,420.0,-670.0,False,,,,,0,,
2025-08-15,CHI,GSV,unibet_uk,0.2476,270.0,-345.0,True,GSV,1.09,-345.0,0.0,0,1.0,0.2899
2025-08-19,CHI,SEA,unibet_uk,0.2398,475.0,-770.0,False,,,,,0,,
2025-08-23,CHI,CON,unibet_uk,0.361,-148.0,120.0,True,CON,20.66,120.0,8.45,0,1.0,1.2
2025-08-25,CHI,LVA,unibet_uk,0.2341,480.0,-715.0,False,,,,,0,,
2025-09-03,CHI,CON,unibet_uk,0.4809,-122.0,100.0,False,,,,,1,,
2025-09-11,CHI,NYL,unibet_uk,0.2474,750.0,-1250.0,False,,,,,0,,
2025-05-18,CON,WAS,unibet_uk,0.7539,130.0,-159.0,True,CON,33.93,130.0,14.11,0,0.0,-1.0
2025-05-20,CON,LVA,unibet_uk,0.5142,650.0,-1000.0,False,,,,,0,,
2025-05-27,CON,DAL,unibet_uk,0.7345,160.0,-195.0,True,CON,36.66,160.0,14.21,0,0.0,-1.0
2025-06-06,CON,ATL,unibet_uk,0.2902,375.0,-530.0,False,,,,,1,,
2025-06-15,CON,CHI,unibet_uk,0.6161,-130.0,107.0,True,CON,7.69,-130.0,2.93,0,0.0,-1.0
2025-06-18,CON,PHX,unibet_uk,0.2891,750.0,-1430.0,False,,,,,0,,
2025-06-20,CON,DAL,unibet_uk,0.3287,155.0,-195.0,True,DAL,4.37,-195.0,0.76,0,1.0,0.5128
2025-07-06,CON,LVA,unibet_uk,0.282,1200.0,-3335.0,False,,,,,0,,
2025-07-09,CON,SEA,unibet_uk,0.2551,1100.0,-2500.0,False,,,,,1,,
2025-07-15,CON,IND,unibet_uk,0.2617,950.0,-2000.0,False,,,,,0,,
2025-07-24,CON,LAS,unibet_uk,0.2856,220.0,-278.0,True,LAS,1.26,-278.0,0.0,0,1.0,0.3597
2025-07-27,CON,GSV,unibet_uk,0.2865,190.0,-240.0,True,GSV,4.17,-240.0,0.65,1,0.0,-1.0
2025-07-28,CON,SEA,unibet_uk,0.3782,450.0,-625.0,False,,,,,0,,
